criterion,predictor,type,signif_label,H_mean,epsilon2_mean,epsilon2_ci_lower,epsilon2_ci_upper,mean_p_value,signif_prob,mean_k
Fear_P,None_A,emotion,yes,255.2672804218014,0.009539547805423054,0.00031808784353481783,0.022739428480070618,0.01627550070069697,0.8963333333333333,6.0
Fear_P,NewsroomTopic,NewsroomTopic,yes,7553.606981263379,0.030184359724075856,0.028818092947168594,0.0315273767928501,0.0,1.0,9.0
Disgust_P,Anger_A,emotion,yes,128.41601943992802,0.004530203402674973,0.0006522825357146752,0.013133485038670598,0.003146672333593484,0.9234444444444444,5.888888888888889
Disgust_P,Fear_A,emotion,yes,96.21912560883928,0.0033050167567663965,0.00035600151727785016,0.010020980770421139,0.006283463527848257,0.8665555555555555,6.0
Disgust_P,Disgust_A,emotion,no,65.9497559083305,0.0017166310506056084,-0.00021981920276899246,0.00611034656484276,0.08991742050310797,0.5945,3.656142857142857
Disgust_P,Sadness_A,emotion,no,34.92045460131789,0.0011862803483783254,-0.00012943742826319074,0.0037908992416002887,0.05323312089459569,0.6538333333333334,4.953944444444445
Disgust_P,Joy_A,emotion,no,22.11123577313548,0.0007621453797749584,-0.00017116617112735398,0.0030522396834533143,0.1574903286917797,0.29255555555555557,4.937388888888889
Disgust_P,None_A,emotion,yes,63.90149717552365,0.0023867143043309197,0.00027476517455042967,0.006049844401996868,0.011166979417641616,0.8525555555555555,6.0
Disgust_P,NewsroomTopic,NewsroomTopic,yes,2038.805880796713,0.008123743442767188,0.0074172411694004665,0.00879965803976131,0.0,1.0,9.0
Sadness_P,Anger_A,emotion,yes,40.039643692131506,0.0014941373988566066,0.00010868885412021493,0.004238031513252623,0.018928441312350934,0.6742777777777778,5.888888888888889
Sadness_P,Fear_A,emotion,yes,148.52480314472155,0.005122865320233209,0.0015375112200385478,0.0104711699379303,0.0008802892867992396,0.9527222222222222,6.0
Sadness_P,Disgust_A,emotion,no,20.770558906474317,0.0005330310188559439,-0.00015368692164102746,0.001874039989050913,0.15127020844814992,0.37257142857142855,3.656142857142857
Sadness_P,Sadness_A,emotion,no,48.29857062977874,0.001960419156085382,-0.00018585262162426318,0.00692298959460391,0.04261645140185471,0.8465,4.953944444444445
Sadness_P,Joy_A,emotion,no,21.190973416916602,0.0006918543414399007,-0.00013559633299535886,0.002477658935128799,0.13751215676561832,0.3646111111111111,4.937388888888889
Sadness_P,None_A,emotion,yes,139.53951257082238,0.0049152707706502695,0.0002917151217953198,0.010536337261681015,0.017216742003718043,0.8890555555555556,6.0
Sadness_P,NewsroomTopic,NewsroomTopic,yes,4185.032032489891,0.016709197518600755,0.01569015566426969,0.017733675982029105,0.0,1.0,9.0
Joy_P,Anger_A,emotion,no,89.21717422750997,0.003040804789135751,-8.332178411803401e-05,0.007897798957414522,0.04011797013126661,0.7668333333333334,5.888888888888889
Joy_P,Fear_A,emotion,yes,299.91190683987884,0.011863794405569722,0.0032397889851677884,0.03307115142710954,4.22536214046786e-05,0.996,6.0
Joy_P,Disgust_A,emotion,no,11.654636112413426,0.0003263557252985559,-0.00015320449947089435,0.0013479417510029526,0.23986013260533504,0.2022857142857143,3.656142857142857
Joy_P,Sadness_A,emotion,yes,38.094500590328835,0.002494432040738017,0.00017643842134601318,0.013684339008716736,0.005234777668270289,0.8336111111111111,4.953944444444445
Joy_P,Joy_A,emotion,yes,63.416044680286305,0.002905782254554858,4.6175466044108576e-05,0.010440056855208837,0.024907486563607265,0.7966111111111112,4.937388888888889
Joy_P,None_A,emotion,yes,321.5693353675333,0.011944576566859802,0.000750951395835602,0.027879392853236998,0.008149484220354938,0.9123888888888889,6.0
Joy_P,NewsroomTopic,NewsroomTopic,yes,10712.937133687865,0.04282248917405859,0.04119375845277094,0.044432228241152616,0.0,1.0,9.0
None_P,Anger_A,emotion,no,39.75879033386608,0.0013494463279939686,-8.08845446263791e-05,0.003873268690877378,0.042248537672114325,0.6985,5.888888888888889
None_P,Fear_A,emotion,yes,169.96277228292027,0.006373367520850052,0.00255927664601021,0.013539137421895773,6.366095959835886e-05,0.9936111111111111,6.0
None_P,Disgust_A,emotion,no,11.001487176814491,0.0003325286311619961,-0.00016384265345401123,0.0019483976790630644,0.2782873638091207,0.25242857142857145,3.656142857142857
None_P,Sadness_A,emotion,no,23.650402455636332,0.0012745304218182135,-0.00020737576249554095,0.008068598766109134,0.1061118921144963,0.45416666666666666,4.953944444444445
None_P,Joy_A,emotion,no,20.50894862342245,0.0009739121880600289,-5.38633546952302e-05,0.004410559859784932,0.10458692524056758,0.39122222222222225,4.937388888888889
None_P,None_A,emotion,yes,201.0424726702518,0.007550622662180369,0.0026741778555490364,0.016327673392092637,0.00039061303936889844,0.9811666666666666,6.0
None_P,NewsroomTopic,NewsroomTopic,yes,2645.3646094894975,0.010550133646511367,0.009800919407356298,0.01137402816550888,0.0,1.0,9.0
